	 К основным признакам предприятия не относитсяОТВЕТорганизационная обособленность
	 Какая из перечисленных характеристик неверна по отношению к такой форме предпринимательской деятельности как индивидуальный предприниматель ОТВЕТрегистрация производится по месту нахождения организации бизнеса
	 Какие доходы учитываются при определении выручки от прочей реализацииОТВЕТбезвозмездно полученное имущество от государств и спонсоров
	 В отличие от прямых инвестиций портфельные инвестицииОТВЕТприобретение контрольного пакета акций управляемого предприятия
	 Суть метода структурной аналогии заключается в том чтоОТВЕТопределяется сумма расходов по одной из типовых статей себестоимости нового продукта
	 Ответственность за формирование функциональной стратегии возлагается наОТВЕТруководителей подразделений 
	 Сопоставьте понятия и метод их исчисления см нижеОТВЕТ
	 среднегодовая стоимость основных средствсреднесписочная численность персоналаОТВЕТфондовооруженность
	 число принятыхчисло выбывшихсреднесписочная численность работниковОТВЕТкоэффицент общего оборота кадров
	 затраты рабочего времени на производство данной продукцииобъем произведенной продукцииОТВЕТтрудоемкость
	 объем произведенной продукцииОТВЕТвыработка
	 число работников списочного состава за периодОТВЕТкоэффицент постоянства кадров
	 ОТВЕТмобилизация финансовых ресурсов в объеме необходимом для текущей деятельности предприятия
	 Дисконтирование – это отметьте ошибочное суждение     ОТВЕТприведение текущих денежных потоков к моменту времени в будущем
	 Формула  предназначена для расчета показателяОТВЕТточка безубыточности
	 валовый доход включает в себя отметьте избыточный пунктОТВЕТсумму инвестиций на реализацию проектов
	 Формула  предназначена для расчета показателяОТВЕТ запас финансовой прочности
	 Составляющими инвестиционной деятельности предприятия является выбрать избыточный пунктОТВЕТмобилизация финансовых ресурсов в объеме необходимом для текущей деятельности предприятия
	 Ценовая стратегия удержания рынка подразумеваетОТВЕТ
	 Среднегодовой экономический эффект этоОТВЕТсредняя величина годовых эффектов за рассчетный период
	 ОТВЕТналогооблагаемая прибыль
	 К затратным методам ценообразования относят ОТВЕТметод структурной аналогии
	 Ценовая статегия удержания рынка подразумеваетОТВЕТ
	 При какой системе оплаты труда применяется коэффициентов трудового участия работникаОТВЕТбестарифная
	 Отношение прибыли к полной себестоимости продукции  этоОТВЕТрентабельность производства
	 Миссия компании в общем смысле  этоОТВЕТто что компания собирается  делать и чем она хочет стать  как правило с ориентацией на внешних пользователей 
	 фраза с помощью цен происходит перелив капиталов в отрасли с более высокой нормой прибыли имеет отношение к следующей функции ценыОТВЕТрациональное размещение производства
	 Дисконтирование  это отметьте ошибочное суждениеОТВЕТприведение текущих денежных потоков к моменту времени в будущем 
	 Не является функцией ценыОТВЕТсогласующая
	 Реконструкция  этоОТВЕТзамена морально устаревших и физически изношенных машин и оборудования
	 какой из перечисленных факторов воздействующих на предложение относится к ценовым ОТВЕТизменение издержек производства и реализации
	 Ответственность за формирование функциональной стратегии возлагается на ОТВЕТруководителей подразделений
	 Что из перечисленного не может относиться к условнопостоянным расходамОТВЕТматериал для производства изделий основного цикла
	 Прямые инвестиции  это выберите наиболее точное определениеОТВЕТвложение средств в предприятие и участие в его управлении
	 Чистая текущая стоимость  это ошибочное суждениеОТВЕТотношение дисконтированной чистой прибыли к полным инвестиционным затратам за период
	 Какие три слова вложены в основу названия анализаОТВЕТзатраты объем прибыль
	 Увеличение текущей прибыли предприятия может быть достигнуто за счет ошибочное сужОТВЕТвзятия кредита на развитие производства
	 Инвестиции  это средства вкладываемые в предприятие с цельюОТВЕТполучения прибыли на вложенный капитал
	 Суть метода определения цены на основе опроса экспертов и их самооценок заключается в том чтоОТВЕТэкспертам предлагается назвать свою цену и провести самооценку своего опыта
	 Разность между номинальным фондом рабочего времени и временем очередных отпусков невыходов рабочих по уважительным причинам – этоОТВЕТэффективный фонд времени
	 Подберите элемент для определения критерия 
 
Трудоемкость  Затраты рабочего времени на производство  ОТВЕТобъем произведенной продукции
	 В состав внереализационных доходов предприятия включают укажите избыточный пунктОТВЕТдоходы от долевого участия в деятельности других организаций
	 ОТВЕТпоступления непосредственно не связанные с производством и реализацией основной продукции
	 Смысл понятия «эластичность цены» состоит в том чтоОТВЕТнет абсолютно точного ответа
	 Запас финансовой прочности – этоОТВЕТсумма на которую предприятие может снизить выручку не выходя из зоны прибыли
	 ОТВЕТ
	 Прирост инфестированного капитала должен быть достаточным для того чтобы отметить избыточный пунктОТВЕТпозволить инфестору получить максимально возможный доход на вложенные инвестиции 
	 Предприятие выбирает целью обеспечение выживаемости если выбрать ошибочный пунктОТВЕТрынок потребления товаров узок
	 какие из перечисленных расходов учитываются при определении прибыли от реализации продукииОТВЕТрасходы на оплату труда
	 Суть метода удельных показателей заключается в том чтоОТВЕТвыявляется основной параметр величина которого определяет уровень цены нового изделия
	 Суть агрегатного метода ценообразования заключается в том чтоОТВЕТвыполняется суммирование цен отдельных конструктивных частей изделий с добавлением стоимости узлов и затрат на сборку номи
	 При использовании сценарного подхода к анализу рисковОТВЕТоценивается коммерческая привлекательность проекта длфя различных вариантов его реализации
	 Для какой организационноправовой формы организации предпринимательской деятельности минимальный размер уставного капитала установлен от  минимальных размеров оплаты труда МРОТОТВЕТМунициалное унитарное предприятие
	 Компания владеющая контрольными пакетами акций или долями в паях других компаний фирм с целью контроля или управления их деятельностью называетсяОТВЕТхолдинг
	 В себестоимость не включаетсяОТВЕТШтрафы пени неустойка получаемые и уплачиваемые за нарушение договорных обязательств
	 К коммерческим организациям относятсяОТВЕТфедеральные казенные преприятия
	 Определите что из перечисленного соответсвует понятию чистая продукцияОТВЕТваловая продукция за вычетом материальных затрат и амортизационных отчислений
	 к затратным мотодам ценообразования относятОТВЕТметод структурной аналогии
	 в расчёте рентабельности инвестиций учавствуют показатели ОТВЕТприбыли величины собственного капитала и долгосрочных обязательств
	 Годовой экономический эффект  этоОТВЕТразность между годовым продуктом и годовыми затратами
	 какой фактор относится к элементу внутренней среды предприятия ОТВЕТперсонал
	 К правилам дисконтирования примениным к любым ситуациям относится следующее правилоотметить ошибочный пунктОТВЕТставка дисконтирования рассчитывается методом простых процентов 
	 Организация производственного процесса при которой обеспечивается кратчайший путь движения предметов труда от запуска сырья и материалов до получения готовой продукцииОТВЕТпрямоточность
	 Сокращение или ликвидация перерывов в процессе производства готовой продукцииОТВЕТнепрерывность
	 одновременное выполнение отдельных операций или частей производственного процессаОТВЕТпараллельность 
	 Организация созданная собственником для осуществления управленческих соцальнокультурных и иных функций некоммерческого характера и финансируемая им полностью или частично  этоОТВЕТучреждение
	 Календарный период времени с момента запуска сырья и материалов в производство до выхода готовой продукции приемки ее службой технического контроля и сдачи на склад готовой продукции  этоОТВЕТпроизводственный цикл
	 По какой стоимости оцениваются основные производственные фонды при постановке на учет предприятияОТВЕТпервоначальной
	 Какая зависимость должна постоянно контролироваться на предприятииОТВЕТсоотношение темпов роста производительности труда и зааботной платы
	 На какой норматив производственных запасов влияют периодичность поставок материалав по договорма и объем их потребления в производстве ОТВЕТтекущий
	 Какой норматив производственного запаса создается в случае превышения сроков грузооборота в сравнении со сроками жокументооборота на предприятиях удаленных от поставщиков на значительные расстояния ОТВЕТтранспортный
	 Дисконтированный индекс доходности инвестицийэто ошиб суждениеОТВЕТразница между дисконтированным чистым  денежным потоком и инвестициями
	 при анализе чувствительности проектаОТВЕТотслеживается влияние на итоговые показатели проекта изменений его ключевых параметров
	 в расчете рентабельности инвестиций учавствуют показателиОТВЕТприбыли величины собственного капитала и долгосрочных обязательств
	 ОТВЕТ
	 В состав цеховой себестоимости не входит следующая статьяОТВЕТкоммерческие расходы
	 суть метода полных затрат заключаетсч в том чтоОТВЕТцена должна покрывать затраты и при этом приносить требуюмую прибыль
	 К пассивной части основных производственных фондов предприятия относятсяОТВЕТздания
	 коэффициент постоянства кадров  число работников списочного состава за период  ОТВЕТсреднесписочная численность работников
	 Бюджет рабочего времениОТВЕТсоставляется на основе данных статистической и бухгалтерской отчетности предприятия
	 Отношение прибыли к полной себестоимости продукции  этоОТВЕТРентабельность производства
	 Количество товаров которое продавцы могут и желают предложить покупателю в определенное время и в конкретном месте  этоОТВЕТпредложение
	 Не является функцией ценыОТВЕТсогласующая
	 Ответсвенность за формирование функциональной стратегии возлагается наОТВЕТруководителей подразделений 
	 Как изменится коэффицентиспользования производственной мощности если в рассматриваемом переоде предприятие выпустило на  меньше продукции чем в предыдушем при прочих равных условияхОТВЕТуменьшится
	 Какие расходы не учитываются при определении валовой прибыли предприятия ОТВЕТсумма налоговых льгот
	 При выборе ставки дисконтирования ее принимают отметьте ошибочный пунктОТВЕТна уровне ставки доходности по более надежным государственным бумагам
	 Рентабельность  показатель эффективности который выберите более точное продолжение фразыОТВЕТхарактеризует уровень отдачи затрат и степень использования ресурсов предприятия
	 ГОТВЕТминимизация издержек производства
	 К привалам дисконтирования применимым к любым ситуациям относится следующее правило отметить ошибочный пунктОТВЕТпри оценке ставки учитываются только чистые денежные потоки
	 В отличие от портфельных инвестиций прямые инвестиции отметить ошибочный ответОТВЕТне предусматривают участия инвестора в оперативном управлении предприятием
	 Предприятие выбирает целью обеспечение выживаемости если выбрать ошибочный пунктОТВЕТрынок потребления товаров узок
	 по периоду формирования прибыль делится на подвиды одним из которых является ОТВЕТнераспределенная прибыль
	 Фраза с ценами связан уровень жизни населения имеет отношение к следующей функции ценыОТВЕТсоциальная
	 что из перечисленного не соответствует современным организационноэкономическим формам объединения организацииОТВЕТв основном касаются только крупных предприятий
	 ОТВЕТрентабельность производства
	 порог рентабельности  это то же самое чтоОТВЕТмаржа безопасности
	 От чего зависит равновесная цена отметить один наиболее важный пунктОТВЕТот равенства спроса и предложения
	 Эффект  это укажите наиболее точный вариант ответаОТВЕТрезультат являющийся следствием какихлибо причин и действий
	 ОТВЕТактивного использования ценовых скидок на готовую продукцию
	 Выручка от прочей реализации  это ОТВЕТвыручка от реализации на сторону принадлежащего предприятию имущества
	 кто из перечисленных ниже субъектов является основным владельцем ресурсов в экономикеОТВЕТсектор домашних домохозяйств
	 инвестиции называются прямыми только тогда когда ОТВЕТинвестор принимает непосредственное участие в выборе объектов инвестирования
	 возможность и желание предложить товар покупателю в определенное время в определенном месте ОТВЕТпредложение 
	 ОТВЕТинвестирование и совокупность практических действий по их реализации
	 суть метода переменных затрат заключается в том что ОТВЕТценовая надбавка добавляется не к полной себестоимости а только к переменным затратам
	 Внутренняя норма доходности  этоОТВЕТвсе вышеперечисленное
	 ОТВЕТ
	 К параметрическим методам ценообразования относят выбрать ошибочный пунктОТВЕТметод следования за рыночномы ценами
	 ОТВЕТс помощью анкетирования выявляется реакция потенциальных покупателей на уровень цены
	 В качестве показателя экономического эффекта применяетсяОТВЕТприбыль предприятия
	 В состав рабочего времени входитОТВЕТвремя на технический контроль время протекания естественных технологических процессов подготовительнозаключительное время
	 Чистая текущая стоимость  этоОТВЕТразница между приведенными к стоимости настоящего момента времени
	 Внутренняя норма доходности  это ошибочное суждениеОТВЕТставка дисконтирования при которой чистая текущая стоимость проекта равна нулю  неверно
	 Этичные покупатели  это покупатели которые ОТВЕТпо сложившейся традиции поддерживают своими покупками конкретные фирмы
	 Суть баллового метода ценоорбразованя заключается в том чтоОТВЕТцена нового изделия определяется умеожением суммы баллов по новому изделию на стоимостную оценку одного балла изделияэталона
	 какой термин не является синонимом термина выручка от реализацииОТВЕТваловый доход
	 экономическая эффективность в отличие от экономического эффектаОТВЕТвеличина относительная
	 Система планирования деятельности предприятия представляет собойОТВЕТсовокупность планов которые сориентироаны на достижение основных целей и выполнение задач предприятия в установленное время 
	 Уровень рентабельности продукции увеличится за счетукажите ошибочный пунктОТВЕТАктивного использования ценовых скидок на готовую продукцию
	 К какому виду затрат относится налог на прибыльОТВЕТИздержки
	 Какой показатель не относится к динамическим показателям эффективности инвестицийОТВЕТрентабельность продаж
	 Цена в условиях рыночной экономики  это выберите наиболее точное определениеОТВЕТденежное выражение стоимости товара или фактора произвосдтва в процессе обмена
	 какое название часто используется в качестве синонима анализаОТВЕТопределение точки безубыточности
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 Освоение и выпуск продукцииэто верноеОТВЕТразработка документации подготовка производства и запуск принципиально новых изделий
	 По характеру инфляционной «очистки» прибыль делится на составляющие в состав которых входитОТВЕТреальная прибыль
	 В себестоимость не включаютсяОТВЕТШтрафыпенинеустойкаполучаемые и уплачиваемые за нарушение договорных обязательств
	 Какой показатель не относится к статическим показателям эффективности инвестицийОТВЕТчистая текущая стоимость
	 Уровень рентабельности продукции можно увеличить за счетОТВЕТснижения материалоемкости продукции
	 Какой термин не является синонимом термина «выручка от реализации» ОТВЕТваловый доход
	 К затратным методам ценообразования относят ошиб пунктОТВЕТметод удельных показателей
	 анализа нельзя применить если отметьте избыт пунктОТВЕТобъем продаж и объем производства между собой не равны
	 ОТВЕТ
	 Внутреняя норма доходности  это отметьте ошибочное суждениеОТВЕТотношение чистой прибыли к полным инвистиционным затратам за период
	 Система планирования деятельности предприятия представляет собойОТВЕТСовокупность планов которые сориентированы на достижение основных целей и выполнение задач предприятия в установленное время
	 В отличии от портфельных инвестиций прямые инвестиции отметитить ошибочный вариантОТВЕТне предусматривают участия инвестора в оперативном управлении предприятия
	 Прирост инвестированного капитала должен быть достаточным для того чтобыОТВЕТвознаградить инвестора за риск
	 при определении выручки от внереализационной деятельности учитывается ОТВЕТпоступления непосредственно не связаные с производством и реализацией основной продукции
	 В расчете экономического эффекта участвуют показтелиОТВЕТ
	 инвестиции называются прямыми только тогда когдаОТВЕТинвестор принимает непосредственное участие в выборе объектов инвестирования
	 К правилам дисконтирования примениным к любым ситуациям относится следующее правило отметить ошибочный пунктОТВЕТпри оценке ставки учитываются только чистые денежные потоки
	 Порог рентабельности  это тоже самое что ОТВЕТмаржа безопасности
	 экономическая эффективность в отличие от экономического эффектаОТВЕТвеличина относительна
	 При использовании сценарного подхода к анализу рисков ОТВЕТРешение о том на каких рынках работать и что продавать это вариант
	 К рыночным методам ценообразования относятОТВЕТМетод определения цены на основе опроса экспертов и их самооценок
	 Инвестиционная деятельность включает в себя ОТВЕТинвестирование и совокупность практических действий по их реализации
	 Фраза цена способствует улучшению качества продукции ресурсосбережению и увеличению спроса имеет отношение к следующей функции ценыОТВЕТстимулирующая
	 По периоду формирования прибыль делится на подвиды одним из которых являестя ОТВЕТнераспределенная прибыль
	 что из перечисленного НЕ соответсвует современным организационноэкономическим формам объединения организацийОТВЕТв основном касаются только крупных компаний
	 ОТВЕТ
	 выражение целей компании на широкий круг пользователей с учетом социальной составляющей  этоОТВЕТмиссия компании
	 какой показатель не относится к статистическим показателям эффективностиОТВЕТчистая текущая стоимость
	 Внутреняя норма доходности   это отметьте ошибочное суждениеОТВЕТотношение чистой прибыли к полным инвестиционным затратам за период
	 суть метода переменных затрат заключается в том чтоОТВЕТценовая надбавка добавляется не к полной себестоимости а только к переменным затратам 
	 Показателем оборачиваемости оборотных средств являетсяОТВЕТкоэффициент оборачиваемости
	 ОТВЕТ
	 теория стоимости денег утверждает что одна и та же сумма выплачиваемая в разное время имеет разную стоимость по следующим причинамОТВЕТсуществует риск невозврата вложенных средств и возможность альтернативных инвестиций
	 Что из перечисленного не относится к списочной численностиОТВЕТработники по договорам подряда учащиеся и проходящие практику
	 По характеру использования прибыль бываетОТВЕТкапитализированной прибылью
	 К правилам дисконтирования применимым к любым ситуациям относится следующее правило отметить ошибочный пунктОТВЕТпри оценке ставки учитываются только чистые денежные потоки
	 Фраза «цена отражает величину совокупных затрат на производство и реализацию продукции» имеет отношение к следующей функции ценыОТВЕТучетная
	 к рыночным методам ценообразования относятОТВЕТметод определения цены на основе опроса экспертов и их самооценок
	 Риск инвестиционного проектаэто выберите наиболее точное определениеОТВЕТизмеренная неопределенность которая связана с возможностью неблагоприятных ситуаций
	 при выборе ставки дисконтирования её принимают  отметьте ошибочный пунктОТВЕТна уровне ставки доходности по наиболее надёжным государственным ценным бумагам
	 ОТВЕТ
	 к элементам внешней макросреды предприятия относятся ОТВЕТорганы законодательной власти
	 Суть метода определения цены на основе теста «цена  готовность купить» заключается в томОТВЕТразрабатывается анкета в которой предлагается вопрос о максимальной возвожной цене
	 Тейлор Гилберты Гант являются представителямиОТВЕТНаучного управления 
	 В отличие от портфельных инвестиций прямые инвестиции представляют из себяОТВЕТ вложения в конкретное предприятие и участие в его управление 
	 выражение целей компании на широкий круг пользователей с учётом социальной составляющей этоОТВЕТмиссия компании
	 спрос на товар неэластичен по цене если процентное изменение количества товараОТВЕТ
	 Маржа безопасности – этоОТВЕТзапас финансовой прочности выраженный в натуральных единицах
	 Суть метода определения цены на основе теста «цена  реакция покупателей» заключается в том чтоОТВЕТс помощью анкетирования выявляется реакция потенциальных покупателей на уровень цен
	 Новое строительство  этоОТВЕТсоздание производственных мощностей для освоения новой техники с нулевого цикла 
	 Интегральный экономический эффект  этоОТВЕТразность между суммарным продуктом и суммарными затратами
	 Как изменится коэффициент использования производственной мощности если в рассматриваемом периоде предприятие выпустило на  меньше продукции чем в предыдущем при прочих равных условияхОТВЕТУменьшится
	 При каком способе начисления амортизационных отчислений применяется коэффициент ускоренияОТВЕТспособе уменьшаемого остатка
	 Какие расходы учитываются при определении прибыли от внереализационной деятельностиОТВЕТсреди предложенных вариантов нет верного ответа 
	 ОТВЕТ
	 ОТВЕТ
	 Основа экономической эффективности – это укажите наиболее корректный вариант ответаОТВЕТсоизмерение эффекта и затрат на его достижение
	 ОТВЕТ
	 Суть метода следования за рыночными ценами заключается в том чтоОТВЕТцены повышаются на основе того что усиливается дифференциация товаров фирмы по отношению к товарам конкурентов
	 Фраза  «через цены осуществяется связь между производством и потреблением» имеет отношение к следующей функции ценыОТВЕТраспределительная
	 Применяется ли государственное регулирование цен в условиях рынкаОТВЕТдапостоянно
	 Решение о том на каких рынках работать и что продавать это вариантОТВЕТкорпоративной стратегии
	 В анализе чувствительности проектаОТВЕТотслеживается влияние на итоговые показатели проекта изменений его ключевых параметров 
	 Цена в условиях рыночной экономики – это выберите наиболее точное утверждениеОТВЕТДенежное выражение стоимости товара или фактора производства в процессе обмена
	 Наиболее распространенный способ определения эффективности – это расчетОТВЕТ
	  Экономический эффект  это ОТВЕТразность между результатами и затратами измеряемая в деньгах 
	 Фраза «с ценами связан уровень жизни населения имеет отношение к следующей функции цены ОТВЕТСоциальная 
	  кто не относится к промышленнопроизводственному персоналуОТВЕТнет варианта ответа 
	 Баланс производственных мощностейОТВЕТСистема показателей характеризующих наличие движение и использование производственных мощностей по выпуску конкретных видов промышленной продукции
	 Принцип непрерывностиОТВЕТпредполагает сокращение или ликвидацию перерывов в процессе производства готовой продукции
	 какие расходы учтываются при определении прибыли от внереализационной деятельности ОТВЕТрасходы на демонтаж оборудования
	 освоение и выпуск новой продукции  это отметить ошибочный пунктОТВЕТмероприятия связанные с заменой морально устаревших и физически изношенных машин и оборудования 
	 По характеру налогообложения прибыль подразделяется на разновидностив состав которых входитОТВЕТналогооблагаемая прибыль
	 при определении выручки от внереализационной деятельности учитываютсяОТВЕТ
	 Что из перечисленного ниже соответствует понятию «сетевая структура»ОТВЕТкооперационные соглашения объединяющиекак правиломалые и средние
	 Формула сложного процента – это формула по которойОТВЕТРассчитывается итоговая сумма дохода с учётом так называемой капитализации
	 Риск инвестиционного проекта – этоОТВЕТИзмеренная неопределенность которая связана с возможностью неблагоприятных ситуаций
	 Прибыли величины собственного капитала и долгосрочных обязательствОТВЕТПрибыли величины собственного капитала и долгосрочных обязательств
	 Портфельные инвестицииОТВЕТинвестиции в ценные бумагиформируемые в виде портфеля ценных бумаг
	 ОТВЕТ
	 ОТВЕТ
	 ценовая стратегия завоевания лидерства на рынке подразумеваетОТВЕТустановление более высокой цены для компенсации затрат на обеспечение высокого качества
	 Простая норма прибыли  это  отметьте ошибочное суждениеОТВЕТотношение чистой прибыли к полным инвестиционным затратам за период
	 Повременная форма оплаты труда применяется ОТВЕТесли невозможно установить зависимость между количеством труда и количеством затраченного времени
